cover,title,author,publisher,isbn,timestamp,activity,details,library
https://img2.od-cdn.com/ImageType-100/2390-1/{60B7EA52-249F-465F-A849-60712EE32FB8}IMG100.JPG,The Lost Metal,Brandon Sanderson,Tor Publishing Group,9780765391209,"January 17, 2023 03:55",Borrowed, 14 days ,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0017-1/{48F19033-427C-449A-861B-8176C5BCA8E8}IMG100.JPG,Inciting Joy,Ross Gay,Algonquin Books,9781643753485,"January 15, 2023 04:24",Placed on hold,"",St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/0027-1/{32A1C6FB-D852-441D-8DFA-42BDC2D182D8}Img100.jpg,Monday the Rabbi Took Off,Harry Kemelman,RosettaBooks,"","January 14, 2023 04:31",Borrowed, 21 days ,The Ohio Digital Library
https://img2.od-cdn.com/ImageType-100/1694-1/{D705BF0A-545B-496E-93C7-AC7566F5EACC}Img100.jpg,Saturday the Rabbi Went Hungry,Harry Kemelman,"Recorded Books, Inc.",9781470338206,"January 13, 2023 12:44",Returned, 18 days  early,Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/1694-1/{7C87CD16-BA37-4D91-8B8B-FEE8E43F97A5}Img100.jpg,Monday the Rabbi Took Off,Harry Kemelman,"Recorded Books, Inc.",9781470338152,"January 11, 2023 06:04",Borrowed, 21 days ,Indiana Digital Library
https://img2.od-cdn.com/ImageType-100/1694-1/{D705BF0A-545B-496E-93C7-AC7566F5EACC}Img100.jpg,Saturday the Rabbi Went Hungry,Harry Kemelman,"Recorded Books, Inc.",9781470338206,"January 11, 2023 06:04",Borrowed, 21 days ,Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/2363-1/{0B10581E-3D7D-42F0-8A54-C0134F74FA17}IMG100.JPG,Saturday the Rabbi Went Hungry,Harry Kemelman,Open Road Media,9781504016056,"January 11, 2023 05:42",Returned,on due date,Indiana Digital Library
https://img2.od-cdn.com/ImageType-100/1523-1/{ED2C357D-CFAD-46B7-A7CF-E8F81F3183C4}IMG100.JPG,Your Money or Your Life,"Vicki Robin, Joe Dominguez",Penguin Publishing Group,9781101539705,"January 04, 2023 14:27",Borrowed, 14 days ,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/2363-1/{E43505C5-881B-4D6B-9847-479720B0DAFC}IMG100.JPG,Sunday the Rabbi Stayed Home,Harry Kemelman,Open Road Media,9781504016063,"January 03, 2023 14:39",Borrowed, 14 days ,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/1523-1/{3309FFA1-07EF-4F6B-A0F5-C5F73E2B382F}Img100.jpg,God Emperor of Dune,Frank Herbert,Penguin Publishing Group,9781440631979,"January 03, 2023 06:15",renew,"",St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/2363-1/{0B10581E-3D7D-42F0-8A54-C0134F74FA17}IMG100.JPG,Saturday the Rabbi Went Hungry,Harry Kemelman,Open Road Media,9781504016056,"December 28, 2022 05:42",Borrowed, 14 days ,Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/2363-1/{1F98F1D5-3064-4DDC-B823-888660F6BF05}IMG100.JPG,Friday the Rabbi Slept Late,Harry Kemelman,Open Road Media,9781504016049,"December 28, 2022 05:41",Returned, 10 days  early,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0017-1/{48F19033-427C-449A-861B-8176C5BCA8E8}IMG100.JPG,Inciting Joy,Ross Gay,Algonquin Books,9781643753485,"December 24, 2022 05:48",Returned, 7 days  early,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/2363-1/{1F98F1D5-3064-4DDC-B823-888660F6BF05}IMG100.JPG,Friday the Rabbi Slept Late,Harry Kemelman,Open Road Media,9781504016049,"December 24, 2022 05:47",renew,"",St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/1493-1/{0A3E5743-7B14-414C-97F0-379B6AC359DA}Img100.jpg,God Emperor of Dune,Frank Herbert,Macmillan Audio,9781427204332,"December 23, 2022 04:37",Returned, 2 days  early,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/1523-1/{3309FFA1-07EF-4F6B-A0F5-C5F73E2B382F}Img100.jpg,God Emperor of Dune,Frank Herbert,Penguin Publishing Group,9781440631979,"December 23, 2022 04:35",renew,"",St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0017-1/{48F19033-427C-449A-861B-8176C5BCA8E8}IMG100.JPG,Inciting Joy,Ross Gay,Algonquin Books,9781643753485,"December 17, 2022 22:29",Borrowed, 14 days ,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0017-1/{94C2AEF2-A45E-4720-9A65-B1C683DD2160}IMG100.JPG,Lark Ascending,Silas House,Algonquin Books,9781643753447,"December 16, 2022 13:39",Returned, 8 days  early,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/2363-1/{1F98F1D5-3064-4DDC-B823-888660F6BF05}IMG100.JPG,Friday the Rabbi Slept Late,Harry Kemelman,Open Road Media,9781504016049,"December 13, 2022 04:58",Borrowed, 14 days ,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/1493-1/{0A3E5743-7B14-414C-97F0-379B6AC359DA}Img100.jpg,God Emperor of Dune,Frank Herbert,Macmillan Audio,9781427204332,"December 11, 2022 22:23",Borrowed, 14 days ,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/1523-1/{3309FFA1-07EF-4F6B-A0F5-C5F73E2B382F}Img100.jpg,God Emperor of Dune,Frank Herbert,Penguin Publishing Group,9781440631979,"December 11, 2022 22:22",Borrowed, 14 days ,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0017-1/{94C2AEF2-A45E-4720-9A65-B1C683DD2160}IMG100.JPG,Lark Ascending,Silas House,Algonquin Books,9781643753447,"December 11, 2022 03:49",Borrowed, 14 days ,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0293-1/{8632EFF0-8190-4ED8-A286-62814984A04F}IMG100.JPG,Raising Them Right,Kyle Spencer,HarperCollins,9780063041387,"December 11, 2022 03:47",Placed on hold,"",Indiana Digital Library
https://img2.od-cdn.com/ImageType-100/0017-1/{23C02A2D-4438-45DC-9656-9A49D0B81972}Img100.jpg,The Shadowed Sun,N. K. Jemisin,Orbit,9780316202886,"December 07, 2022 03:54",Returned,on due date,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0293-1/{8632EFF0-8190-4ED8-A286-62814984A04F}IMG100.JPG,Raising Them Right,Kyle Spencer,HarperCollins,9780063041387,"November 26, 2022 03:19",Returned,on due date,Brooklyn Public Library
https://img2.od-cdn.com/ImageType-100/0017-1/{23C02A2D-4438-45DC-9656-9A49D0B81972}Img100.jpg,The Shadowed Sun,N. K. Jemisin,Orbit,9780316202886,"November 23, 2022 03:54",Borrowed, 14 days ,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0017-1/{FD353295-7FC4-4AEB-BCFD-71DF00F7471A}Img100.jpg,The Killing Moon,N. K. Jemisin,Orbit,9780316202770,"November 20, 2022 20:30",Returned, 1 day  early,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/1523-1/{DAC66432-0746-4D45-8788-1A989BE77C23}Img100.jpg,The Bullet Journal Method,Ryder Carroll,Penguin Publishing Group,9780525533344,"November 20, 2022 20:30",Returned, 1 day  early,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0111-1/{BA75277F-2451-4E07-9F0A-3B253580F1D7}IMG100.JPG,Sword of Ice,Mercedes Lackey (ed.),Astra Publishing House,9780756418212,"November 19, 2022 03:21",Returned,on due date,The Ohio Digital Library
https://img2.od-cdn.com/ImageType-100/0017-1/{23C02A2D-4438-45DC-9656-9A49D0B81972}Img100.jpg,The Shadowed Sun,N. K. Jemisin,Orbit,9780316202886,"November 19, 2022 02:20",Returned,on due date,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0017-1/{FD353295-7FC4-4AEB-BCFD-71DF00F7471A}Img100.jpg,The Killing Moon,N. K. Jemisin,Orbit,9780316202770,"November 08, 2022 03:21",renew,"",St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0017-1/{23C02A2D-4438-45DC-9656-9A49D0B81972}Img100.jpg,The Shadowed Sun,N. K. Jemisin,Orbit,9780316202886,"November 05, 2022 02:20",Borrowed, 14 days ,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0293-1/{8632EFF0-8190-4ED8-A286-62814984A04F}IMG100.JPG,Raising Them Right,Kyle Spencer,HarperCollins,9780063041387,"November 05, 2022 02:19",Borrowed, 21 days ,Brooklyn Public Library
https://img2.od-cdn.com/ImageType-100/0111-1/{BA75277F-2451-4E07-9F0A-3B253580F1D7}IMG100.JPG,Sword of Ice,Mercedes Lackey (ed.),Astra Publishing House,9780756418212,"October 29, 2022 03:21",Borrowed, 21 days ,The Ohio Digital Library
https://img2.od-cdn.com/ImageType-100/0293-1/{8632EFF0-8190-4ED8-A286-62814984A04F}IMG100.JPG,Raising Them Right,Kyle Spencer,HarperCollins,9780063041387,"October 28, 2022 11:54",Placed on hold,"",Brooklyn Public Library
https://img2.od-cdn.com/ImageType-100/2183-1/{33A71567-38C1-40F8-98D0-915C069443E4}IMG100.JPG,The Priory of the Orange Tree,Samantha Shannon,Bloomsbury Publishing,9781635570281,"October 28, 2022 11:54",Returned, 8 days  early,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0017-1/{FD353295-7FC4-4AEB-BCFD-71DF00F7471A}Img100.jpg,The Killing Moon,N. K. Jemisin,Orbit,9780316202770,"October 28, 2022 02:22",Borrowed, 14 days ,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/1523-1/{DAC66432-0746-4D45-8788-1A989BE77C23}Img100.jpg,The Bullet Journal Method,Ryder Carroll,Penguin Publishing Group,9780525533344,"October 28, 2022 00:54",renew,"",St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/2183-1/{33A71567-38C1-40F8-98D0-915C069443E4}IMG100.JPG,The Priory of the Orange Tree,Samantha Shannon,Bloomsbury Publishing,9781635570281,"October 23, 2022 04:01",renew,"",St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/1523-1/{DAC66432-0746-4D45-8788-1A989BE77C23}Img100.jpg,The Bullet Journal Method,Ryder Carroll,Penguin Publishing Group,9780525533344,"October 16, 2022 18:49",renew,"",St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0111-1/{61F7E33A-D76D-452C-8290-950063746162}IMG100.JPG,Finding the Way and Other Tales of Valdemar,Mercedes Lackey,Astra Publishing House,9781101445662,"October 13, 2022 01:31",Returned, 12 days  early,Brooklyn Public Library
https://img2.od-cdn.com/ImageType-100/0111-1/{BA75277F-2451-4E07-9F0A-3B253580F1D7}IMG100.JPG,Sword of Ice,Mercedes Lackey (ed.),Astra Publishing House,9780756418212,"October 12, 2022 01:46",Placed on hold,"",The Ohio Digital Library
https://img2.od-cdn.com/ImageType-100/2183-1/{33A71567-38C1-40F8-98D0-915C069443E4}IMG100.JPG,The Priory of the Orange Tree,Samantha Shannon,Bloomsbury Publishing,9781635570281,"October 12, 2022 01:45",Borrowed, 14 days ,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/1523-1/{DAC66432-0746-4D45-8788-1A989BE77C23}Img100.jpg,The Bullet Journal Method,Ryder Carroll,Penguin Publishing Group,9780525533344,"October 05, 2022 14:28",Borrowed, 14 days ,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0111-1/{61F7E33A-D76D-452C-8290-950063746162}IMG100.JPG,Finding the Way and Other Tales of Valdemar,Mercedes Lackey,Astra Publishing House,9781101445662,"October 04, 2022 02:26",Borrowed, 21 days ,Brooklyn Public Library
https://img1.od-cdn.com/ImageType-100/1523-1/{535F2C75-DBF6-46BF-B869-D3B48EEB7865}Img100.jpg,Children of Dune,Frank Herbert,Penguin Publishing Group,9781440630514,"October 04, 2022 02:24",Returned, 10 days  early,Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/1523-1/{535F2C75-DBF6-46BF-B869-D3B48EEB7865}Img100.jpg,Children of Dune,Frank Herbert,Penguin Publishing Group,9781440630514,"October 01, 2022 00:01",renew,"",Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/1523-1/{535F2C75-DBF6-46BF-B869-D3B48EEB7865}Img100.jpg,Children of Dune,Frank Herbert,Penguin Publishing Group,9781440630514,"September 07, 2022 12:18",renew,"",Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/1523-1/{535F2C75-DBF6-46BF-B869-D3B48EEB7865}Img100.jpg,Children of Dune,Frank Herbert,Penguin Publishing Group,9781440630514,"August 27, 2022 02:03",renew,"",Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/0111-1/{C5F52285-2D3D-4CC2-A447-3BA196CFDB0E}IMG100.JPG,Crossroads and Other Tales of Valdemar,Mercedes Lackey,Astra Publishing House,9781101524374,"August 27, 2022 02:02",Returned, 14 days  early,Brooklyn Public Library
https://img3.od-cdn.com/ImageType-100/0111-1/{C5F52285-2D3D-4CC2-A447-3BA196CFDB0E}IMG100.JPG,Crossroads and Other Tales of Valdemar,Mercedes Lackey,Astra Publishing House,9781101524374,"August 21, 2022 00:01",renew,"",Brooklyn Public Library
https://img2.od-cdn.com/ImageType-100/1493-1/{E1324788-0F51-4FEA-9249-43DE50FED7D1}Img100.jpg,Children of Dune,Frank Herbert,Macmillan Audio,9781427202925,"August 21, 2022 00:01",Returned, 16 days  early,Indiana Digital Library
https://img2.od-cdn.com/ImageType-100/1493-1/{E1324788-0F51-4FEA-9249-43DE50FED7D1}Img100.jpg,Children of Dune,Frank Herbert,Macmillan Audio,9781427202925,"August 16, 2022 01:42",Borrowed, 21 days ,Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/1523-1/{535F2C75-DBF6-46BF-B869-D3B48EEB7865}Img100.jpg,Children of Dune,Frank Herbert,Penguin Publishing Group,9781440630514,"August 16, 2022 01:41",Borrowed, 14 days ,Indiana Digital Library
https://img2.od-cdn.com/ImageType-100/1523-1/{2AF64392-77FC-4727-BB47-1915646E0A0C}Img100.jpg,Dune Messiah,Frank Herbert,Penguin Publishing Group,9781101157879,"August 16, 2022 01:40",Returned, 6 days  early,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/1493-1/{A0B8DCE6-E708-42F0-BC2A-358E7A1A324E}Img100.jpg,Dune Messiah,Frank Herbert,Macmillan Audio,9781427202376,"August 16, 2022 01:40",Returned, 16 days  early,Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/1493-1/{A0B8DCE6-E708-42F0-BC2A-358E7A1A324E}Img100.jpg,Dune Messiah,Frank Herbert,Macmillan Audio,9781427202376,"August 11, 2022 23:35",Borrowed, 21 days ,Indiana Digital Library
https://img2.od-cdn.com/ImageType-100/1523-1/{2AF64392-77FC-4727-BB47-1915646E0A0C}Img100.jpg,Dune Messiah,Frank Herbert,Penguin Publishing Group,9781101157879,"August 08, 2022 04:57",Borrowed, 14 days ,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/1523-1/{2AF64392-77FC-4727-BB47-1915646E0A0C}Img100.jpg,Dune Messiah,Frank Herbert,Penguin Publishing Group,9781101157879,"August 08, 2022 04:57",Returned, 2 days  early,Brooklyn Public Library
https://img3.od-cdn.com/ImageType-100/0111-1/{C5F52285-2D3D-4CC2-A447-3BA196CFDB0E}IMG100.JPG,Crossroads and Other Tales of Valdemar,Mercedes Lackey,Astra Publishing House,9781101524374,"August 01, 2022 04:21",Borrowed, 21 days ,Brooklyn Public Library
https://img1.od-cdn.com/ImageType-100/0111-1/{9B4A74C7-CD0D-4205-B6CC-B1B1BBAFE052}IMG100.JPG,Sun in Glory and Other Tales of Valdemar,Mercedes Lackey,Astra Publishing House,9781101524367,"August 01, 2022 04:18",Returned, 5 days  early,Brooklyn Public Library
https://img3.od-cdn.com/ImageType-100/0439-1/{C81A9626-CDC4-4FBB-A893-05FD5F6E44DC}IMG100.JPG,Building a Second Brain,Tiago Forte,Atria Books,9781982167400,"July 28, 2022 19:39",Returned,on due date,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/1523-1/{2AF64392-77FC-4727-BB47-1915646E0A0C}Img100.jpg,Dune Messiah,Frank Herbert,Penguin Publishing Group,9781101157879,"July 21, 2022 04:16",Borrowed, 21 days ,Brooklyn Public Library
https://img2.od-cdn.com/ImageType-100/1523-1/{2AF64392-77FC-4727-BB47-1915646E0A0C}Img100.jpg,Dune Messiah,Frank Herbert,Penguin Publishing Group,9781101157879,"July 19, 2022 04:13",Placed on hold,"",Brooklyn Public Library
https://img3.od-cdn.com/ImageType-100/2858-1/{7B9FDAC1-3C9F-458A-9A81-766B38EAFEC3}Img100.jpg,Python for Data Analysis,Wes McKinney,O'Reilly Media,"","July 18, 2022 04:28",Returned, 2 days  early,Brooklyn Public Library
https://img2.od-cdn.com/ImageType-100/1523-1/{C8EE0AA0-60B0-4275-8127-0DFC98E4C0E4}IMG100.JPG,Dune,Frank Herbert,Penguin Publishing Group,9781101658055,"July 18, 2022 04:28",Returned, 3 days  early,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/0111-1/{9B4A74C7-CD0D-4205-B6CC-B1B1BBAFE052}IMG100.JPG,Sun in Glory and Other Tales of Valdemar,Mercedes Lackey,Astra Publishing House,9781101524367,"July 16, 2022 04:28",Borrowed, 21 days ,Brooklyn Public Library
https://img3.od-cdn.com/ImageType-100/0439-1/{C81A9626-CDC4-4FBB-A893-05FD5F6E44DC}IMG100.JPG,Building a Second Brain,Tiago Forte,Atria Books,9781982167400,"July 14, 2022 19:39",Borrowed, 14 days ,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0017-1/{D9047DF0-7120-487F-BE1E-BE6911668CE4}Img100.jpg,Do What You Are,"Paul D. Tieger, Barbara Barron, Kelly Tieger","Little, Brown and Company","","July 11, 2022 04:19",Returned, 8 days  early,Indiana Digital Library
https://img2.od-cdn.com/ImageType-100/1523-1/{C8EE0AA0-60B0-4275-8127-0DFC98E4C0E4}IMG100.JPG,Dune,Frank Herbert,Penguin Publishing Group,9781101658055,"July 07, 2022 21:00",Borrowed, 14 days ,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/1523-1/{C8EE0AA0-60B0-4275-8127-0DFC98E4C0E4}IMG100.JPG,Dune,Frank Herbert,Penguin Publishing Group,9781101658055,"July 07, 2022 21:00",Returned, 3 days  early,Brooklyn Public Library
https://img3.od-cdn.com/ImageType-100/0017-1/{D9047DF0-7120-487F-BE1E-BE6911668CE4}Img100.jpg,Do What You Are,"Paul D. Tieger, Barbara Barron, Kelly Tieger","Little, Brown and Company","","July 05, 2022 19:23",Borrowed, 14 days ,Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/2858-1/{7B9FDAC1-3C9F-458A-9A81-766B38EAFEC3}Img100.jpg,Python for Data Analysis,Wes McKinney,O'Reilly Media,"","June 29, 2022 21:12",Borrowed, 21 days ,Brooklyn Public Library
https://img1.od-cdn.com/ImageType-100/0116-1/{232C44FE-3442-4DA0-B12C-ABA3E6FF8CDE}IMG100.JPG,Our Own Worst Enemy,Tom Nichols,Oxford University Press,9780197518892,"June 29, 2022 05:05",Returned, 9 days  early,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{0440B1FC-B4EC-4A96-8375-4282AD818677}Img100.jpg,The Awakened Kingdom,N. K. Jemisin,Orbit,9780316259057,"June 25, 2022 04:35",Returned, 6 days  early,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/0116-1/{232C44FE-3442-4DA0-B12C-ABA3E6FF8CDE}IMG100.JPG,Our Own Worst Enemy,Tom Nichols,Oxford University Press,9780197518892,"June 25, 2022 04:35",renew,"",St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0439-1/{C81A9626-CDC4-4FBB-A893-05FD5F6E44DC}IMG100.JPG,Building a Second Brain,Tiago Forte,Atria Books,9781982167400,"June 22, 2022 15:55",Placed on hold,"",St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/1523-1/{C8EE0AA0-60B0-4275-8127-0DFC98E4C0E4}IMG100.JPG,Dune,Frank Herbert,Penguin Publishing Group,9781101658055,"June 20, 2022 04:23",Borrowed, 21 days ,Brooklyn Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{0440B1FC-B4EC-4A96-8375-4282AD818677}Img100.jpg,The Awakened Kingdom,N. K. Jemisin,Orbit,9780316259057,"June 17, 2022 12:41",renew,"",St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/0116-1/{232C44FE-3442-4DA0-B12C-ABA3E6FF8CDE}IMG100.JPG,Our Own Worst Enemy,Tom Nichols,Oxford University Press,9780197518892,"June 11, 2022 12:34",Borrowed, 14 days ,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/0116-1/{232C44FE-3442-4DA0-B12C-ABA3E6FF8CDE}IMG100.JPG,Our Own Worst Enemy,Tom Nichols,Oxford University Press,9780197518892,"June 11, 2022 04:14",Returned,on due date,Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/0017-1/{0440B1FC-B4EC-4A96-8375-4282AD818677}Img100.jpg,The Awakened Kingdom,N. K. Jemisin,Orbit,9780316259057,"June 06, 2022 03:49",Borrowed, 14 days ,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/2390-1/{BFBBC8E5-4260-465A-A166-1BA53D08E7EE}IMG100.JPG,The Last Shadow,Orson Scott Card,Tor Publishing Group,9781250252135,"May 31, 2022 03:51",Returned, 6 days  early,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/1294-1/{3C7373FD-788B-43E1-A32F-18DA0125AF6E}Img100.jpg,Our Own Worst Enemy,Tom Nichols,Kalorama,9781696606530,"May 28, 2022 04:14",Returned, 16 days  early,Brooklyn Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{0440B1FC-B4EC-4A96-8375-4282AD818677}Img100.jpg,The Awakened Kingdom,N. K. Jemisin,Orbit,9780316259057,"May 28, 2022 04:14",Returned, 16 days  early,Brooklyn Public Library
https://img1.od-cdn.com/ImageType-100/0116-1/{232C44FE-3442-4DA0-B12C-ABA3E6FF8CDE}IMG100.JPG,Our Own Worst Enemy,Tom Nichols,Oxford University Press,9780197518892,"May 28, 2022 04:14",renew,"",Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/1493-1/{63E744DC-5292-4908-9812-09A428C8FC6F}Img100.jpg,The Last Shadow,Orson Scott Card,Macmillan Audio,9781250818164,"May 28, 2022 04:13",Returned, 9 days  early,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{0440B1FC-B4EC-4A96-8375-4282AD818677}Img100.jpg,The Awakened Kingdom,N. K. Jemisin,Orbit,9780316259057,"May 24, 2022 02:42",Borrowed, 21 days ,Brooklyn Public Library
https://img1.od-cdn.com/ImageType-100/1294-1/{3C7373FD-788B-43E1-A32F-18DA0125AF6E}Img100.jpg,Our Own Worst Enemy,Tom Nichols,Kalorama,9781696606530,"May 24, 2022 00:19",Borrowed, 21 days ,Brooklyn Public Library
https://img3.od-cdn.com/ImageType-100/2390-1/{BFBBC8E5-4260-465A-A166-1BA53D08E7EE}IMG100.JPG,The Last Shadow,Orson Scott Card,Tor Publishing Group,9781250252135,"May 24, 2022 00:16",Borrowed, 14 days ,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/1493-1/{63E744DC-5292-4908-9812-09A428C8FC6F}Img100.jpg,The Last Shadow,Orson Scott Card,Macmillan Audio,9781250818164,"May 24, 2022 00:15",Borrowed, 14 days ,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{A3A20BCF-5C1B-4A4E-89D5-BA6682059B58}IMG100.JPG,Warbreaker,Brandon Sanderson,"Recorded Books, Inc.",9781501915925,"May 24, 2022 00:12",Returned, 13 days  early,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/2390-1/{DDD83B24-A48D-4DB5-B331-5512951B09CA}IMG100.JPG,Warbreaker,Brandon Sanderson,Tor Publishing Group,9781429967945,"May 24, 2022 00:11",Returned, 8 days  early,Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/1694-1/{A3A20BCF-5C1B-4A4E-89D5-BA6682059B58}IMG100.JPG,Warbreaker,Brandon Sanderson,"Recorded Books, Inc.",9781501915925,"May 23, 2022 14:46",Borrowed, 14 days ,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/0116-1/{232C44FE-3442-4DA0-B12C-ABA3E6FF8CDE}IMG100.JPG,Our Own Worst Enemy,Tom Nichols,Oxford University Press,9780197518892,"May 16, 2022 00:20",Borrowed, 14 days ,Indiana Digital Library
https://img2.od-cdn.com/ImageType-100/4952-1/{54D48A5A-969A-40B8-81AA-42794FFDF072}Img100.jpg,Automate the Boring Stuff with Python,Al Sweigart,No Starch Press,"","May 16, 2022 00:19",Returned, 2 days  early,Brooklyn Public Library
https://img1.od-cdn.com/ImageType-100/0111-1/{D72C0E82-FC3C-4732-B500-DB9BAEDCBDFE}Img100.jpg,My Name Is Asher Lev,Chaim Potok,Knopf Doubleday Publishing Group,9780307422347,"May 14, 2022 18:58",Returned, 2 days  early,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/2390-1/{DDD83B24-A48D-4DB5-B331-5512951B09CA}IMG100.JPG,Warbreaker,Brandon Sanderson,Tor Publishing Group,9781429967945,"May 06, 2022 03:19",Borrowed, 14 days ,Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/0111-1/{C74C2AEF-5292-4BD5-96A5-6ECA939AB5E6}Img100.jpg,The Gift of Asher Lev,Chaim Potok,Random House Publishing Group,9780307575524,"May 06, 2022 00:53",Placed on hold,"",Brooklyn Public Library
https://img1.od-cdn.com/ImageType-100/0116-1/{232C44FE-3442-4DA0-B12C-ABA3E6FF8CDE}IMG100.JPG,Our Own Worst Enemy,Tom Nichols,Oxford University Press,9780197518892,"May 01, 2022 21:58",renew,"",St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0017-1/{2D0399F2-690F-4EF3-AA1A-B9194E5E0751}Img100.jpg,Shades in Shadow,N. K. Jemisin,Orbit,9780316388597,"May 01, 2022 21:58",Returned, 13 days  early,Brooklyn Public Library
https://img2.od-cdn.com/ImageType-100/4952-1/{54D48A5A-969A-40B8-81AA-42794FFDF072}Img100.jpg,Automate the Boring Stuff with Python,Al Sweigart,No Starch Press,"","April 27, 2022 17:53",renew,"",Brooklyn Public Library
https://img3.od-cdn.com/ImageType-100/0017-1/{C3683B4F-BAA9-4B61-9E4D-51C6932C0F88}Img100.jpg,The Kingdom of Gods,N. K. Jemisin,Orbit,9780316076005,"April 27, 2022 17:52",Returned, 16 days  early,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/0111-1/{D72C0E82-FC3C-4732-B500-DB9BAEDCBDFE}Img100.jpg,My Name Is Asher Lev,Chaim Potok,Knopf Doubleday Publishing Group,9780307422347,"April 26, 2022 03:00",Borrowed, 21 days ,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0017-1/{2D0399F2-690F-4EF3-AA1A-B9194E5E0751}Img100.jpg,Shades in Shadow,N. K. Jemisin,Orbit,9780316388597,"April 24, 2022 02:14",Borrowed, 21 days ,Brooklyn Public Library
https://img3.od-cdn.com/ImageType-100/0438-1/{C65DAA94-8A3B-4C3D-A402-B503A2BA6B04}Img100.jpg,The End of Burnout,Jonathan Malesic,University of California Press,9780520975347,"April 23, 2022 14:00",Returned,on due date,Indiana Digital Library
