cover,title,author,publisher,isbn,timestamp,activity,details,library
https://img1.od-cdn.com/ImageType-100/7635-1/{C0275000-4168-48E9-AD58-E1CD1D57A38F}IMG100.JPG,Tress of the Emerald Sea,Brandon Sanderson,"Dragonsteel, LLC",9781938570346,"July 03, 2023 14:20",Returned, 1 day  early,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0017-1/{E14009CC-50FE-4AF7-A139-68711C29B6CE}Img100.jpg,So Good They Can't Ignore You,Cal Newport,Grand Central Publishing,9781455509102,"June 28, 2023 03:26",renew,"",Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/2183-1/{00DCB9C2-FB8C-4AC7-A6D4-3FB9C259AE73}IMG100.JPG,A Day of Fallen Night,Samantha Shannon,Bloomsbury Publishing,9781635577938,"June 22, 2023 13:35",renew,"",St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/7635-1/{C0275000-4168-48E9-AD58-E1CD1D57A38F}IMG100.JPG,Tress of the Emerald Sea,Brandon Sanderson,"Dragonsteel, LLC",9781938570346,"June 21, 2023 13:49",Borrowed, 14 days ,Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/1523-1/{4909E8FE-604F-4760-B849-989044D9D2E2}Img100.jpg,Miriam,Maggie Anton,Penguin Publishing Group,9781101219379,"June 21, 2023 03:57",Returned,on due date,Indiana Digital Library
https://img2.od-cdn.com/ImageType-100/0439-1/{F8237CDD-A9E9-4A3C-87EC-32B6C6780693}IMG100.JPG,A Most Tolerant Little Town,Rachel Louise Martin,Simon & Schuster,9781982186869,"June 20, 2023 14:34",Placed on hold,"",The Ohio Digital Library
https://img1.od-cdn.com/ImageType-100/7635-1/{C0275000-4168-48E9-AD58-E1CD1D57A38F}IMG100.JPG,Tress of the Emerald Sea,Brandon Sanderson,"Dragonsteel, LLC",9781938570346,"June 14, 2023 03:47",Placed on hold,"",Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/2183-1/{00DCB9C2-FB8C-4AC7-A6D4-3FB9C259AE73}IMG100.JPG,A Day of Fallen Night,Samantha Shannon,Bloomsbury Publishing,9781635577938,"June 11, 2023 04:10",renew,"",St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/7635-1/{C0275000-4168-48E9-AD58-E1CD1D57A38F}IMG100.JPG,Tress of the Emerald Sea,Brandon Sanderson,"Dragonsteel, LLC",9781938570346,"June 11, 2023 04:09",Placed on hold,"",St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0017-1/{E14009CC-50FE-4AF7-A139-68711C29B6CE}Img100.jpg,So Good They Can't Ignore You,Cal Newport,Grand Central Publishing,9781455509102,"June 05, 2023 14:18",renew,"",Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/2183-1/{00DCB9C2-FB8C-4AC7-A6D4-3FB9C259AE73}IMG100.JPG,A Day of Fallen Night,Samantha Shannon,Bloomsbury Publishing,9781635577938,"May 31, 2023 03:23",Borrowed, 14 days ,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/7635-1/{C0275000-4168-48E9-AD58-E1CD1D57A38F}IMG100.JPG,Tress of the Emerald Sea,Brandon Sanderson,"Dragonsteel, LLC",9781938570346,"May 31, 2023 03:23",Borrowed, 14 days ,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0017-1/{408231EB-FD48-4383-8EDA-F13493D79FB8}Img100.jpg,Deep Work,Cal Newport,Grand Central Publishing,9781455586660,"May 31, 2023 03:23",Returned, 1 day  early,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/7635-1/{C0275000-4168-48E9-AD58-E1CD1D57A38F}IMG100.JPG,Tress of the Emerald Sea,Brandon Sanderson,"Dragonsteel, LLC",9781938570346,"May 30, 2023 22:52",Placed on hold,"",St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/1523-1/{4909E8FE-604F-4760-B849-989044D9D2E2}Img100.jpg,Miriam,Maggie Anton,Penguin Publishing Group,9781101219379,"May 27, 2023 02:31",Borrowed, 14 days ,Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/0293-1/{6618B910-85AF-4FBD-A6AE-FDB4F25B1D21}IMG100.JPG,The Adventures of Amina al-Sirafi,Shannon Chakraborty,HarperCollins,9780062963529,"May 26, 2023 14:44",Placed on hold,"",St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0017-1/{E14009CC-50FE-4AF7-A139-68711C29B6CE}Img100.jpg,So Good They Can't Ignore You,Cal Newport,Grand Central Publishing,9781455509102,"May 25, 2023 14:16",Borrowed, 14 days ,Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/0293-1/{6618B910-85AF-4FBD-A6AE-FDB4F25B1D21}IMG100.JPG,The Adventures of Amina al-Sirafi,Shannon Chakraborty,HarperCollins,9780062963529,"May 24, 2023 11:27",Returned,on due date,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0017-1/{408231EB-FD48-4383-8EDA-F13493D79FB8}Img100.jpg,Deep Work,Cal Newport,Grand Central Publishing,9781455586660,"May 18, 2023 20:55",renew,"",St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/1523-1/{596C791D-5835-40C1-8E46-3F60917F8BED}Img100.jpg,Joheved,Maggie Anton,Penguin Publishing Group,9781101219386,"May 17, 2023 14:33",Returned, 2 days  early,The Ohio Digital Library
https://img3.od-cdn.com/ImageType-100/0293-1/{6618B910-85AF-4FBD-A6AE-FDB4F25B1D21}IMG100.JPG,The Adventures of Amina al-Sirafi,Shannon Chakraborty,HarperCollins,9780062963529,"May 10, 2023 11:27",renew,"",St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0293-1/{6618B910-85AF-4FBD-A6AE-FDB4F25B1D21}IMG100.JPG,The Adventures of Amina al-Sirafi,Shannon Chakraborty,HarperCollins,9780062963529,"April 29, 2023 01:28",Borrowed, 14 days ,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/1523-1/{596C791D-5835-40C1-8E46-3F60917F8BED}Img100.jpg,Joheved,Maggie Anton,Penguin Publishing Group,9781101219386,"April 28, 2023 15:27",Borrowed, 21 days ,The Ohio Digital Library
https://img1.od-cdn.com/ImageType-100/7635-1/{C0275000-4168-48E9-AD58-E1CD1D57A38F}IMG100.JPG,Tress of the Emerald Sea,Brandon Sanderson,"Dragonsteel, LLC",9781938570346,"April 28, 2023 15:24",Returned, 13 days  early,St. Joseph County Public Library
